footprint,nstories,buildingheight,roofshape
"POLYGON ((-122.5254005 37.9251584, -122.525388 37.9252686, -122.5253828 37.9253305, -122.5253321 37.9253278, -122.5253375 37.9252645, -122.5252778 37.9252614, -122.525287 37.9251524, -122.5254005 37.9251584))",1,31.6,Flat
"POLYGON ((-122.5067624 37.924188, -122.5069005 37.9242765, -122.5068342 37.9243409, -122.5068209 37.9243324, -122.506798 37.9243546, -122.5068118 37.9243635, -122.5067734 37.9244008, -122.5066786 37.9243401, -122.5067076 37.9243118, -122.5066638 37.9242837, -122.5067624 37.924188))",1,23.9,Hip
"POLYGON ((-122.5150091 37.9137446, -122.5150217 37.9136759, -122.5151097 37.913686, -122.5150968 37.913756, -122.5150865 37.9137548, -122.5150807 37.9137865, -122.5150868 37.9137872, -122.5150735 37.9138595, -122.5150878 37.9138532, -122.5151033 37.9139078, -122.5150432 37.9139184, -122.5150502 37.913943, -122.5149661 37.9139579, -122.5149438 37.9138793, -122.5149764 37.9138735, -122.5149845 37.9138293, -122.5149776 37.9138286, -122.5149875 37.9137749, -122.5150088 37.9137773, -122.5150147 37.9137452, -122.5150091 37.9137446))",,,Flat
"POLYGON ((-122.5274555 37.926461, -122.5274571 37.9264084, -122.5275856 37.9264108, -122.527584 37.9264634, -122.5274555 37.926461))",1,14.2,Flat
"POLYGON ((-122.5212445 37.9240282, -122.5213399 37.9240409, -122.5213191 37.9241382, -122.52118 37.9241197, -122.5211853 37.9240949, -122.5211085 37.9240846, -122.5211072 37.9240906, -122.5210946 37.924089, -122.5211176 37.9239816, -122.5212208 37.9239953, -122.5212257 37.9239723, -122.521165 37.9239642, -122.5211833 37.9238785, -122.5212739 37.9238905, -122.5212445 37.9240282))",1,,Hip
"POLYGON ((-122.5031352 37.9220763, -122.5030381 37.9222011, -122.5028842 37.9221265, -122.5029474 37.9220454, -122.5030316 37.9220862, -122.5030656 37.9220425, -122.5031352 37.9220763))",1,25.6,Gable
"POLYGON ((-122.5071592 37.9172559, -122.5071412 37.9172602, -122.5071515 37.9172872, -122.5070883 37.9173021, -122.5071069 37.9173509, -122.5070041 37.9173752, -122.5069514 37.9172361, -122.5071352 37.9171927, -122.5071592 37.9172559))",2,57.2,Flat
"POLYGON ((-122.5075481 37.9116629, -122.507522 37.9117253, -122.5074561 37.9117082, -122.5074537 37.9117139, -122.5073161 37.9116781, -122.507359 37.9115752, -122.5074534 37.9115997, -122.5074563 37.9115928, -122.5075032 37.911605, -122.5074957 37.9116228, -122.5075152 37.9116279, -122.5075052 37.9116518, -122.5075481 37.9116629))",1,,Flat
"POLYGON ((-122.4960682 37.9191414, -122.4960501 37.9190614, -122.4960854 37.9190565, -122.4960674 37.9189768, -122.496099 37.9189723, -122.4961002 37.9189775, -122.4961823 37.918966, -122.4962157 37.9191135, -122.4961332 37.9191251, -122.4961348 37.919132, -122.4960682 37.9191414))",3,71.8,Flat
"POLYGON ((-122.5331698 37.926004, -122.5330876 37.9258975, -122.5332387 37.9258248, -122.5332501 37.9258396, -122.5332788 37.9258258, -122.533282 37.92583, -122.5332858 37.9258282, -122.5333173 37.925869, -122.5333123 37.9258714, -122.5333147 37.9258746, -122.5332869 37.9258879, -122.5332972 37.9259013, -122.5332515 37.9259233, -122.5332748 37.9259535, -122.5331698 37.926004))",2,45.3,Gable
